Date,Description,Comments,Check Number,Amount,Balance
7/30/2021,Withdrawal Hall Pmt from x0368 CK,,,($52.20),"$8,577.13 "
7/30/2021,POS  COSTCO WHSE #0486      KENNEWICK    WAUS,,,($128.86),"$8,629.33 "
7/30/2021,ATM Withdrawal ATMG DGA West R 4000 Kennedy Rd        West RichlandWAUS,,,($243.00),"$8,758.19 "
7/29/2021,External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER,,,($129.99),"$9,001.19 "
7/28/2021,POS  APPLE.COM/BILL         866-712-7753 CAUS,,,($1.08),"$9,131.18 "
7/27/2021,POS  FRED-MEYER #0163 FRED MKENNEWICK    WAUS,,,($50.69),"$9,132.26 "
7/26/2021,External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER,,,($161.98),"$9,182.95 "
7/25/2021,POS  SQ *THE COLLECTORS CORNKENNEWICK    WAUS,,,($207.43),"$9,344.93 "
7/24/2021,POS  SAFEWAY #0252          RICHLAND     WAUS,,,($8.68),"$9,552.36 "
7/23/2021,POS  FRED-MEYER #0286 FRED MRICHLAND     WAUS,,,($162.85),"$9,561.04 "
7/21/2021,POS  YOKES WEST RICHLAND    W. RICHLAND  WAUS,,,($43.94),"$9,723.89 "
7/21/2021,ATM Withdrawal GESA CREDIT UNION 4755 PARADISE WAY WU   WEST RICHLANDWAUS,,,($140.00),"$9,767.83 "
7/20/2021,Withdrawal Transfer to x4978,,,($200.00),"$9,907.83 "
7/20/2021,External Deposit GUSTO e3eu - PAY x7984,,,"$2,512.80 ","$10,107.83 "
7/20/2021,External Withdrawal UAS               x9246 - EPAYMENT,,,($184.06),"$7,595.03 "
7/19/2021,POS  APPLE.COM/BILL         866-712-7753 CAUS,,,($44.51),"$7,779.09 "
7/19/2021,POS  INCA MEXIC* INCA MEXIC WWW.INCAMEXICWAUS,,,($21.94),"$7,823.60 "
7/19/2021,POS  SAFEWAY #0335          KENNEWICK    WAUS,,,($27.14),"$7,845.54 "
7/16/2021,POS  APPLE.COM/BILL         866-712-7753 CAUS,,,($0.99),"$7,872.68 "
7/16/2021,POS  FRED-MEYER #0286 FRED MRICHLAND     WAUS,,,($154.02),"$7,873.67 "
7/15/2021,POS CIRCLE K x6048 1900 N. STEPTOE ST     KENNEWICK    WAUS,,,($2.72),"$8,027.69 "
7/14/2021,POS  APPLE.COM/BILL         866-712-7753 CAUS,,,($22.79),"$8,030.41 "
7/13/2021,POS MAVERIK #448 3520 KEENE ROAD        RICHLAND     WAUS,,,($54.78),"$8,053.20 "
7/13/2021,POS  COSTCO WHSE #0486      KENNEWICK    WAUS,,,($235.28),"$8,107.98 "
7/12/2021,External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER,,,($5.00),"$8,343.26 "
7/12/2021,External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER,,,($59.70),"$8,348.26 "
7/12/2021,POS  CHIPOTLE 2573          KENNEWICK    WAUS,,,($27.96),"$8,407.96 "
7/11/2021,POS UNITED PACIFIC 500 GEORGE WASHING     RICHLAND     WAUS,,,($6.58),"$8,435.92 "
7/11/2021,POS  SQ *THE COLLECTORS CORNKENNEWICK    WAUS,,,($119.46),"$8,442.50 "
7/9/2021,POS  FRED-MEYER #0286 FRED MRICHLAND     WAUS,,,($112.39),"$8,561.96 "
7/9/2021,POS CIRCLE K x6026 1401 GEORGE WASHING    RICHLAND     WAUS,,,($10.57),"$8,674.35 "
7/8/2021,ATM Withdrawal GESA CREDIT UNION 4755 PARADISE WAY WU   WEST RICHLANDWAUS,,,($200.00),"$8,684.92 "
7/8/2021,Withdrawal,,,"($5,000.00)","$8,884.92 "
7/7/2021,External Deposit GUSTO e3eu - PAY x7045,,,"$2,512.80 ","$13,884.92 "
7/7/2021,POS  APPLE.COM/BILL         866-712-7753 CAUS,,,($2.16),"$11,372.12 "
7/7/2021,External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER,,,($338.37),"$11,374.28 "
7/6/2021,POS  CHIPOTLE 2573          KENNEWICK    WAUS,,,($28.24),"$11,712.65 "
7/6/2021,POS  SQ *THE COLLECTORS CORNKENNEWICK    WAUS,,,($130.32),"$11,740.89 "
7/4/2021,POS TARGET T-083 1106 N Columbia Cen    Kennewick    WAUS,,,($49.78),"$11,871.21 "
7/4/2021,POS TARGET T-2314 2941 Queensgate Dr     Richland     WAUS,,,($31.97),"$11,920.99 "
7/2/2021,POS  RichlandAirportMiniStor509-x3855  WAUS,,,($139.00),"$11,952.96 "
7/2/2021,POS  FRED-MEYER #0286 FRED MRICHLAND     WAUS,,,($236.92),"$12,091.96 "
7/1/2021,Deposit,,,$200.00 ,"$12,328.88 "
6/30/2021,ATM Service Charge Rebate,,,$3.00 ,"$12,128.88 "
6/30/2021,Credit Interest,,,$12.27 ,"$12,125.88 "
6/30/2021,Descriptive Withdrawal AMAZON.COM             SEATTLE      WAUS,,,($162.85),"$12,113.61 "
6/30/2021,POS  APPLE.COM/BILL         866-712-7753 CAUS,,,($1.08),"$12,276.46 "
6/30/2021,POS  GEICO  *AUTO           800-841-3000 DCUS,,,($45.00),"$12,277.54 "
6/30/2021,POS  AMAZON.COM             SEATTLE      WAUS,,,($162.85),"$12,322.54 "
6/29/2021,POS  AMAZON.COM             SEATTLE      WAUS,,,$162.85 ,"$12,485.39 "
6/29/2021,External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER,,,($243.89),"$12,322.54 "
6/29/2021,POS  COSTCO WHSE #0486      KENNEWICK    WAUS,,,$18.45 ,"$12,566.43 "
6/29/2021,Withdrawal Hall Pmt from x0368 CK,,,($340.36),"$12,547.98 "
6/29/2021,POS  COSTCO WHSE #0486      KENNEWICK    WAUS,,,($219.23),"$12,888.34 "
6/28/2021,External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER,,,($271.41),"$13,107.57 "
6/28/2021,External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER,,,($70.56),"$13,378.98 "
6/27/2021,POS  SQ *THE COLLECTORS CORNKennewick    WAUS,,,($43.44),"$13,449.54 "
6/27/2021,POS  FRED-MEYER #0163 FRED MKENNEWICK    WAUS,,,($59.68),"$13,492.98 "
6/26/2021,POS TARGET T-083 1106 N Columbia Cen    Kennewick    WAUS,,,($16.02),"$13,552.66 "
6/26/2021,POS MAVERIK #448 3520 KEENE ROAD        RICHLAND     WAUS,,,($55.06),"$13,568.68 "
6/26/2021,POS MAVERIK #448 3520 KEENE ROAD        RICHLAND     WAUS,,,($15.06),"$13,623.74 "
6/24/2021,POS  CHIPOTLE 2573          KENNEWICK    WAUS,,,($27.96),"$13,638.80 "
6/23/2021,POS  APPLE.COM/BILL         866-712-7753 CAUS,,,($1.08),"$13,666.76 "
6/22/2021,External Deposit GUSTO e3eu - PAY x3507,,,"$2,512.80 ","$13,667.84 "
6/22/2021,External Withdrawal UAS               x9096 - EPAYMENT,,,($184.06),"$11,155.04 "
6/21/2021,POS  HONGS MONGOLIAN        KENNEWICK    WAUS,,,($30.61),"$11,339.10 "
6/21/2021,POS  INCA MEXIC* INCA MEXIC WWW.INCAMEXICWAUS,,,($20.36),"$11,369.71 "
6/20/2021,Withdrawal Transfer to x4978,,,($75.00),"$11,390.07 "
6/20/2021,POS  BARNESNOBLE 700 ColumbiKennewick    WAUS,,,($27.10),"$11,465.07 "
6/20/2021,POS  CHEVRON x1499        WEST RICHLANDWAUS,,,($15.12),"$11,492.17 "
6/20/2021,POS  SCOTTS CYCLE AND SPORTSKENNEWICK    WAUS,,,"($1,357.50)","$11,507.29 "
6/20/2021,ATM Withdrawal GESA CREDIT UNION 4755 PARADISE WAY WU   WEST RICHLANDWAUS,,,($100.00),"$12,864.79 "
6/18/2021,POS  FRED-MEYER #0286 FRED MRICHLAND     WAUS,,,($208.18),"$12,964.79 "
6/17/2021,POS  CHIPOTLE 2573          KENNEWICK    WAUS,,,($28.24),"$13,172.97 "
6/16/2021,ATM Withdrawal GESA CREDIT UNION 4755 PARADISE WAY WU   WEST RICHLANDWAUS,,,($200.00),"$13,201.21 "
6/16/2021,External Deposit GUSTO e3eu - PAY x3434,,,"$1,090.82 ","$13,401.21 "
6/16/2021,POS  APPLE.COM/BILL         408-974-1010 CAUS,,,($0.99),"$12,310.39 "
6/13/2021,POS  APPLE.COM/BILL         408-974-1010 CAUS,,,($1.08),"$12,311.38 "
6/11/2021,External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER,,,($5.00),"$12,312.46 "
6/11/2021,POS  HONGS MONGOLIAN        KENNEWICK    WAUS,,,($32.61),"$12,317.46 "
6/10/2021,Withdrawal Hall Pmt from x0368 CK,,,($87.08),"$12,350.07 "
6/10/2021,POS  APPLE.COM/BILL         866-712-7753 CAUS,,,($45.58),"$12,437.15 "
6/8/2021,POS  COSTCO WHSE #0486      KENNEWICK    WAUS,,,($139.03),"$12,482.73 "
6/7/2021,POS  CHIPOTLE 2573          KENNEWICK    WAUS,,,($25.58),"$12,621.76 "
6/7/2021,External Deposit WA ST EMPLOY SEC  - UI BENEFIT,,,$830.00 ,"$12,647.34 "
6/6/2021,POS  SQ *THE COLLECTORS CORNKENNEWICK    WAUS,,,($217.20),"$11,817.34 "
6/6/2021,POS  FRED-MEYER #0286 FRED MRICHLAND     WAUS,,,($110.59),"$12,034.54 "
6/5/2021,POS  CHIPOTLE 3601          RICHLAND     WAUS,,,($12.43),"$12,145.13 "
6/5/2021,POS MAVERIK #448 3520 KEENE ROAD        RICHLAND     WAUS,,,($3.58),"$12,157.56 "
6/3/2021,POS  HONGS MONGOLIAN        KENNEWICK    WAUS,,,($30.43),"$12,161.14 "
6/3/2021,POS CIRCLE K x6034 7707 W. DESCHUTES      KENNEWICK    WAUS,,,($11.65),"$12,191.57 "
6/3/2021,POS  APPLE.COM/BILL         408-974-1010 CAUS,,,($6.49),"$12,203.22 "
6/2/2021,POS  RichlandAirportMiniStor509-x3855  WAUS,,,($139.00),"$12,209.71 "
6/2/2021,ATM Withdrawal ATMG DGA West R 4000 Kennedy Rd        West RichlandWAUS,,,($303.00),"$12,348.71 "
6/1/2021,External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER,,,($53.54),"$12,651.71 "
6/1/2021,External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER,,,($148.50),"$12,705.25 "
6/1/2021,POS  HONGS MONGOLIAN        KENNEWICK    WAUS,,,($24.33),"$12,853.75 "
5/31/2021,Credit Interest,,,$12.68 ,"$12,878.08 "
5/30/2021,POS ROCKET MART 5304 W Canal Dr        Kennewick    WAUS,,,($50.66),"$12,865.40 "
5/30/2021,POS  GEICO  *AUTO           800-841-3000 DCUS,,,($44.98),"$12,916.06 "
5/29/2021,POS  AMAZON.COM             SEATTLE      WAUS,,,($217.19),"$12,961.04 "
5/29/2021,POS  AMAZON.COM             SEATTLE      WAUS,,,($262.30),"$13,178.23 "
5/28/2021,External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER,,,($343.78),"$13,440.53 "
5/28/2021,POS  CHIPOTLE 2573          KENNEWICK    WAUS,,,($29.16),"$13,784.31 "
5/28/2021,External Deposit WA ST EMPLOY SEC  - UI BENEFIT,,,$830.00 ,"$13,813.47 "
5/27/2021,POS TARGET T-083 1106 N Columbia Cen    Kennewick    WAUS,,,($11.66),"$12,983.47 "
5/27/2021,POS BEST BUY 6809 WEST CANAL DRI    KENNEWICK    WAUS,,,($141.17),"$12,995.13 "
5/27/2021,POS  AMAZON.COM             SEATTLE      WAUS,,,($42.33),"$13,136.30 "
5/27/2021,POS  AMAZON.COM             SEATTLE      WAUS,,,($18.23),"$13,178.63 "
5/27/2021,POS  SUPER SUPPLEMENTS 1019 KENNEWICK    WAUS,,,($117.68),"$13,196.86 "
5/26/2021,POS  APPLE.COM/BILL         866-712-7753 CAUS,,,($1.08),"$13,314.54 "
5/26/2021,External Deposit GUSTO 6semjm933fh - EBV x7217,,,$0.01 ,"$13,315.62 "
5/26/2021,POS  FRED-MEYER #0163 FRED MKENNEWICK    WAUS,,,($75.58),"$13,315.61 "
5/25/2021,POS  FRED-MEYER #0286 FRED MRICHLAND     WAUS,,,($192.52),"$13,391.19 "
5/22/2021,POS  CHIPOTLE 2573          KENNEWICK    WAUS,,,($24.44),"$13,583.71 "
5/21/2021,POS  HERRES CHIROPRACTIC PLLPASCO        WAUS,,,($55.00),"$13,608.15 "
5/21/2021,External Deposit WA ST EMPLOY SEC  - UI BENEFIT,,,$830.00 ,"$13,663.15 "
5/20/2021,Withdrawal Transfer to x4978,,,($75.00),"$12,833.15 "
5/20/2021,POS  COSTCO WHSE #0486      KENNEWICK    WAUS,,,($327.63),"$12,908.15 "
5/20/2021,External Withdrawal UAS               x8916 - EPAYMENT,,,($184.06),"$13,235.78 "
5/20/2021,External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER,,,($59.43),"$13,419.84 "
5/20/2021,POS  APPLE.COM/BILL         866-712-7753 CAUS,,,($1.08),"$13,479.27 "
5/16/2021,POS  APPLE.COM/BILL         866-712-7753 CAUS,,,($0.99),"$13,480.35 "
5/16/2021,POS  APPLE.COM/BILL         866-712-7753 CAUS,,,($1.08),"$13,481.34 "
5/15/2021,POS MAVERIK #448 3520 KEENE ROAD        RICHLAND     WAUS,,,($51.57),"$13,482.42 "
5/14/2021,POS  CHIPOTLE 3601          RICHLAND     WAUS,,,($12.00),"$13,533.99 "
5/14/2021,External Deposit WA ST EMPLOY SEC  - UI BENEFIT,,,$830.00 ,"$13,545.99 "
5/14/2021,POS  FRED-MEYER #0286 FRED MRICHLAND     WAUS,,,($120.85),"$12,715.99 "
5/13/2021,ATM Withdrawal GESA CREDIT UNION 2951 DUPORTAIL STREET WRICHLAND     WAUS,,,($200.00),"$12,836.84 "
5/13/2021,POS  COSTCO WHSE #0486      KENNEWICK    WAUS,,,($184.49),"$13,036.84 "
5/12/2021,POS  APPLE.COM/BILL         866-712-7753 CAUS,,,($1.08),"$13,221.33 "
5/11/2021,External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER,,,($5.00),"$13,222.41 "
5/11/2021,External Deposit WA ST EMPLOY SEC  - UI BENEFIT,,,$830.00 ,"$13,227.41 "
5/8/2021,POS  CHIPOTLE 3601          RICHLAND     WAUS,,,($12.00),"$12,397.41 "
5/7/2021,POS  APPLE.COM/BILL         408-974-1010 CAUS,,,($43.43),"$12,409.41 "
5/7/2021,External Deposit WA ST EMPLOY SEC  - UI BENEFIT,,,$830.00 ,"$12,452.84 "
5/6/2021,POS  FRED-MEYER #0163 FRED MKENNEWICK    WAUS,,,($167.21),"$11,622.84 "
5/5/2021,POS  APPLE.COM/BILL         866-712-7753 CAUS,,,($1.08),"$11,790.05 "
5/5/2021,POS  AMAZON.COM             SEATTLE      WAUS,,,($13.02),"$11,791.13 "
5/5/2021,POS  AMAZON.COM             SEATTLE      WAUS,,,($207.19),"$11,804.15 "
5/4/2021,POS  FRED-MEYER #0286 FRED MRICHLAND     WAUS,,,($93.36),"$12,011.34 "
5/4/2021,POS VIOC x0091 25 COLUMBIA POINT D    RICHLAND     WAUS,,,($62.97),"$12,104.70 "
5/4/2021,External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER,,,($130.49),"$12,167.67 "
5/4/2021,POS  AMAZON.COM             SEATTLE      WAUS,,,($59.70),"$12,298.16 "
5/2/2021,POS  RichlandAirportMiniStor509-x3855  WAUS,,,($124.00),"$12,357.86 "
4/30/2021,Credit Interest,,,$12.27 ,"$12,481.86 "
4/30/2021,POS  AMAZON.COM             SEATTLE      WAUS,,,$172.66 ,"$12,469.59 "
4/30/2021,ATM Withdrawal GESA CREDIT UNION 4755 PARADISE WAY WU   WEST RICHLANDWAUS,,,($200.00),"$12,296.93 "
4/30/2021,POS  GEICO  *AUTO           800-841-3000 DCUS,,,($44.98),"$12,496.93 "
4/29/2021,POS  COSTCO WHSE #0486      KENNEWICK    WAUS,,,($289.45),"$12,541.91 "
4/29/2021,POS  USA Brake & Auto       Kennewick    WAUS,,,($495.06),"$12,831.36 "
4/29/2021,External Deposit WA ST EMPLOY SEC  - UI BENEFIT,,,$830.00 ,"$13,326.42 "
4/28/2021,POS  APPLE.COM/BILL         866-712-7753 CAUS,,,($1.08),"$12,496.42 "
4/27/2021,POS  AMAZON.COM             SEATTLE      WAUS,,,($167.23),"$12,497.50 "
4/26/2021,POS  CHIPOTLE 2573          KENNEWICK    WAUS,,,($26.06),"$12,664.73 "
4/25/2021,POS MAVERIK #448 3520 KEENE ROAD        RICHLAND     WAUS,,,($47.07),"$12,690.79 "
4/25/2021,POS  INCA MEXIC* INCA MEXIC x2469   WAUS,,,($20.36),"$12,737.86 "
4/24/2021,POS  FRED-MEYER #0163 FRED MKENNEWICK    WAUS,,,($80.56),"$12,758.22 "
4/23/2021,External Deposit WA ST EMPLOY SEC  - UI BENEFIT,,,$830.00 ,"$12,838.78 "
4/22/2021,ATM Withdrawal GESA CREDIT UNION 2951 DUPORTAIL STREET WRICHLAND     WAUS,,,($300.00),"$12,008.78 "
4/21/2021,POS  APPLE.COM/BILL         866-712-7753 CAUS,,,($1.08),"$12,308.78 "
4/21/2021,External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER,,,($139.50),"$12,309.86 "
4/21/2021,POS  FRED-MEYER #0286 FRED MRICHLAND     WAUS,,,($153.30),"$12,449.36 "
4/20/2021,Withdrawal Transfer to x4978,,,($75.00),"$12,602.66 "
4/20/2021,External Withdrawal UAS               x8746 - EPAYMENT,,,($184.06),"$12,677.66 "
4/19/2021,POS  AMAZON.COM             SEATTLE      WAUS,,,($73.23),"$12,861.72 "
4/19/2021,POS  CHIPOTLE 2573          KENNEWICK    WAUS,,,($25.79),"$12,934.95 "
4/19/2021,External Deposit WA ST EMPLOY SEC  - UI BENEFIT,,,$830.00 ,"$12,960.74 "
4/19/2021,POS  SMOKE CITY FOR LESS    KENNEWICK    WAUS,,,($54.29),"$12,130.74 "
4/16/2021,POS  HERRES CHIROPRACTIC PLLPASCO        WAUS,,,($55.00),"$12,185.03 "
4/16/2021,POS  APPLE.COM/BILL         866-712-7753 CAUS,,,($0.99),"$12,240.03 "
4/15/2021,POS  AMAZON.COM             SEATTLE      WAUS,,,($172.66),"$12,241.02 "
4/14/2021,POS  FRED-MEYER #0286 FRED MRICHLAND     WAUS,,,($127.95),"$12,413.68 "
4/14/2021,ATM Withdrawal GESA CREDIT UNION 4755 PARADISE WAY WU   WEST RICHLANDWAUS,,,($160.00),"$12,541.63 "
4/14/2021,External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER,,,($76.01),"$12,701.63 "
4/13/2021,POS  APPLE.COM/BILL         866-712-7753 CAUS,,,($2.15),"$12,777.64 "
4/13/2021,Withdrawal Hall Pmt from x0368 CK,,,($43.23),"$12,779.79 "
4/13/2021,POS  AMAZON.COM             SEATTLE      WAUS,,,($43.39),"$12,823.02 "
4/12/2021,External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER,,,($5.00),"$12,866.41 "
4/9/2021,ATM Withdrawal GESA CREDIT UNION 4755 PARADISE WAY WU   WEST RICHLANDWAUS,,,($120.00),"$12,871.41 "
4/9/2021,External Deposit WA ST EMPLOY SEC  - UI BENEFIT,,,$830.00 ,"$12,991.41 "
4/8/2021,POS  COSTCO WHSE #0486      KENNEWICK    WAUS,,,($253.04),"$12,161.41 "
4/7/2021,POS  APPLE.COM/BILL         866-712-7753 CAUS,,,($1.08),"$12,414.45 "
4/3/2021,POS  FRED-MEYER #0163 FRED MKENNEWICK    WAUS,,,($67.04),"$12,415.53 "
4/2/2021,POS  HERRES CHIROPRACTIC PLLPASCO        WAUS,,,($55.00),"$12,482.57 "
4/2/2021,External Deposit WA ST EMPLOY SEC  - UI BENEFIT,,,$830.00 ,"$12,537.57 "
4/2/2021,POS  CHEVRON x1499        WEST RICHLANDWAUS,,,($48.19),"$11,707.57 "
4/2/2021,POS  RichlandAirportMiniStor509-x3855  WAUS,,,($124.00),"$11,755.76 "
4/1/2021,POS  YOKES WEST RICHLAND    W. RICHLAND  WAUS,,,($114.11),"$11,879.76 "
3/31/2021,Credit Interest,,,$7.16 ,"$11,993.87 "
3/31/2021,POS  APPLE.COM/BILL         866-712-7753 CAUS,,,($11.92),"$11,986.71 "
3/30/2021,POS  FRED-MEYER #0286 FRED MRICHLAND     WAUS,,,($122.49),"$11,998.63 "
3/30/2021,POS  GEICO  *AUTO           800-841-3000 DCUS,,,($44.98),"$12,121.12 "
3/30/2021,POS  TEXACO x5696         KENNEWICK    WAUS,,,($11.69),"$12,166.10 "
3/30/2021,External Deposit WA ST EMPLOY SEC  - UI BENEFIT,,,"$7,470.00 ","$12,177.79 "
3/29/2021,External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER,,,($117.00),"$4,707.79 "
3/27/2021,POS  WW ECOMMERCE           800-221-2112 NYUS,,,($44.97),"$4,824.79 "
3/26/2021,External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER,,,($117.00),"$4,869.76 "
3/24/2021,POS  APPLE.COM/BILL         866-712-7753 CAUS,,,($1.08),"$4,986.76 "
3/24/2021,POS  COSTCO WHSE #0486      KENNEWICK    WAUS,,,($169.62),"$4,987.84 "
3/23/2021,Withdrawal Hall Pmt from x0368 CK,,,($44.34),"$5,157.46 "
3/23/2021,POS  AMAZON.COM             SEATTLE      WAUS,,,($15.18),"$5,201.80 "
3/23/2021,External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER,,,($43.43),"$5,216.98 "
3/22/2021,POS  AMAZON.COM             SEATTLE      WAUS,,,($42.34),"$5,260.41 "
3/22/2021,External Withdrawal UAS               x8586 - EPAYMENT,,,($184.06),"$5,302.75 "
3/22/2021,External Deposit PAYPAL TRANSFER - TRANSFER,,,$39.10 ,"$5,486.81 "
3/21/2021,POS  FRED-MEYER #0286 FRED MRICHLAND     WAUS,,,($62.71),"$5,447.71 "
3/21/2021,POS  ADVENTURES UNDERGROUND RICHLAND     WAUS,,,($43.43),"$5,510.42 "
3/21/2021,POS  HONGS MONGOLIAN        KENNEWICK    WAUS,,,($14.76),"$5,553.85 "
3/21/2021,POS  CHIPOTLE 2573          KENNEWICK    WAUS,,,($23.24),"$5,568.61 "
3/20/2021,Withdrawal Transfer to x4978,,,($75.00),"$5,591.85 "
3/20/2021,POS TARGET T-083 1106 N Columbia Cen    Kennewick    WAUS,,,($110.69),"$5,666.85 "
3/19/2021,POS  HERRES CHIROPRACTIC PLLPASCO        WAUS,,,($55.00),"$5,777.54 "
3/19/2021,External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER,,,($117.00),"$5,832.54 "
3/18/2021,External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER,,,($31.89),"$5,949.54 "
3/18/2021,ATM Withdrawal GESA CREDIT UNION 51 GAGE BLVD           RICHLAND     WAUS,,,($140.00),"$5,981.43 "
3/18/2021,POS  COSTCO WHSE #0486      KENNEWICK    WAUS,,,($91.12),"$6,121.43 "
3/17/2021,POS  FRED-MEYER #0286 FRED MRICHLAND     WAUS,,,($95.49),"$6,212.55 "
3/17/2021,External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER,,,($10.85),"$6,308.04 "
3/17/2021,External Deposit IRS  TREAS 310  -   TAXEIP3,,,"$1,400.00 ","$6,318.89 "
3/16/2021,POS  APPLE.COM/BILL         408-974-1010 CAUS,,,($0.99),"$4,918.89 "
3/15/2021,POS  CHIPOTLE 2573          KENNEWICK    WAUS,,,($24.33),"$4,919.88 "
3/15/2021,POS  APPLE.COM/BILL         866-712-7753 CAUS,,,($33.63),"$4,944.21 "
